Team,QB,RB,WR,TE,K,DST,
Chase'n my Puka,M Stafford,A JonesD MontgomeryZ Scott(R)R White(R),J'Marr ChaseP NacuaZ FlowersX Legette(R)J Addison(R)A Pierce(R),,N Folk,SteelersSaints(R)
Chubby Chasers,J HurtsB Purdy(R),D'Von AchaneC HubbardM Davis(R)O Gordon II(R)M Lloyd(R),D MooreW'Dale RobinsonR Doubs(R)Q Johnston(R),K Pitts,B GrupeA Borregales(R),Eagles
Clyde,J AllenC Wentz(R),Z CharbonnetD NealR Mostert(R),X WorthyA Iosivas(R)D London(R)I Hodgins(R),J FergusonT KelceD Njoku(R),W LutzH Mevis(R),Jets
Dezzie Does Dallas,M WillisP Mahomes(R),C McCaffreyT Tracy Jr.D Singletary(R)T Spears(R)B Robinson Jr.(R)C Skattebo(R),P WashingtonA.J. BrownJ JenningsD Metcalf(R)T Hunter(R)R Rice(R),,K'imi Fairbairn,Texans
Doomsday Dingleberries,J DartC.J. Stroud(R),J JacobsT EtienneB Tuten(R)E Wilson(R)B Allen(R),T McMillanE Egbuka(R),,B Aubrey,CowboysBills(R)
F.A.F.O.,J Goff,B HallJ MasonA Estime(R)W Marks(R)K Vidal(R),C WatsonC OlaveT Franklin(R)J Higgins(R),C LovelandI Likely(R)C Parkinson(R),J Myers,PatriotsRavens(R)
Front Runner,D PrescottM Penix Jr.(R),J WilliamsA JeantyK Monangai(R)K Walker III(R),L McConkeyG PickensT McLaurinC Tillman(R),C Otton(R)Z Ertz(R),B McManus,BuccaneersPackers(R)
Gibbs me a win,J LoveA Rodgers(R)J Herbert(R),J GibbsR HarveyT Bigsby(R),B Thomas Jr.J MeyersD WicksK Allen(R)D Slayton(R)T Johnson(R),,C Dicker,Titans
Gronk if you're horny,D MayeS Sanders(R),R DowdleT PollardJ Croskey-Merritt(R)K Hunt(R),N CollinsC SuttonD Mooney(R)M Nabers(R)R Pearsall(R),H Fannin Jr.O Gadsden II(R),J Bates,Vikings
Hairy Butterscotch,C WilliamsS Darnold(R),O HamptonM CarterS Perine(R)I Pacheco(R)K Mitchell(R),A-Ra St. BrownR OdunzeD Vele(R),B Bowers,R Patterson,Commanders49ers(R)
Kickin Bass,J BurrowT Lawrence(R),K WilliamsB RobinsonT Allgeier(R),M EvansK Bourne(R)J Downs(R),H HenryB StrangeD Schultz(R),J Elliott,BroncosRams(R)
Now we’re Cookin’,J DanielsT Shough(R),J WarrenJ CookK Gainwell(R)J Mixon(R),J WilliamsJ JeffersonJ WaddleM Harrison Jr.A Mitchell(R)M Brown(R)B Aiyuk(R)S Diggs(R),,C Little,DolphinsColts(R)
Phil Belichick,J Brissett,T HendersonB IrvingJ Taylor(R)C Rodriguez Jr.(R),J Smith-NjigbaM WilsonG Wilson(R),G KittleT Warren(R),C SmythC Boswell(R),LionsGiants(R)Jaguars(R)
Spider Monkeys,B NixM Mariota(R),D HenryD'Andre SwiftQ Judkins(R)J Wright(R)T Benson(R),K ShakirC LambJ Reed(R)C Godwin(R),T McBride,E McPherson,Panthers
SUHK EM,B MayfieldD Jones(R),B CorumC BrownJ McLaughlin(R)R Stevenson(R)A Kamara(R),D SamuelD SmithT Higgins(R)D Douglas(R),D Goedert,Z Gonzalez,Seahawks
Yo Mama,L Jackson,Z KnightS BarkleyN Chubb(R),M PittmanJ JeudyD AdamsC Kirk(R)C Kupp(R),A Barner(R),C McLaughlinH Butker(R),Chiefs
