Team,QB,RB,WR,TE,K,DST,
Chase'n my Puka,,,P NacuaJ'Marr Chase,,,
Chubby Chasers,J Hurts,D'Von Achane,,,,
Clyde,J Allen,,D London(R),,,
Dezzie Does Dallas,,C McCaffrey,A.J. Brown,,,
Doomsday Dingleberries,,T EtienneB Tuten(R),,,,
F.A.F.O.,,Q JudkinsK Walker III,,,,
Gibbs me a win,,J Gibbs,C Olave,,,
Gronk if you're horny,,B Hall,M Nabers(R),,,
Hairy Butterscotch,,O Hampton,A-Ra St. Brown,,,
Kickin Bass,,K WilliamsB Robinson,,,,
NJigBA Please,,,C LambJ Smith-Njigba(R),,,
Now we’re Cookin’,,J Cook,J Jefferson,,,
Phil Belichick,,J Taylor(R)D Henry(R),,,,
Pickens My Jeanty,,A Jeanty,G Pickens,,,
SUHK EM,,C Brown,T Higgins(R),,,
Yo Mama,L Jackson,S Barkley,,,,
